series,cracker,charset,N,L,target_type,target,guesses,found,mean_time_s
A,BruteForce,lowercase,26,1,random,"k",11,true,0.000007
A,Heuristic,lowercase,26,1,random,"k",7266,false,0.002624
A,BruteForce,lowercase,26,1,random,"z",26,true,0.000021
A,Heuristic,lowercase,26,1,random,"z",7266,false,0.001243
A,BruteForce,lowercase,26,1,random,"a",1,true,0.000001
A,Heuristic,lowercase,26,1,random,"a",7266,false,0.000897
A,BruteForce,lowercase,26,1,random,"p",16,true,0.000005
A,Heuristic,lowercase,26,1,random,"p",7266,false,0.001126
A,BruteForce,lowercase,26,1,random,"q",17,true,0.000003
A,Heuristic,lowercase,26,1,random,"q",7266,false,0.001106
A,BruteForce,lowercase,26,2,random,"ad",30,true,0.000010
A,Heuristic,lowercase,26,2,random,"ad",7266,false,0.001365
A,BruteForce,lowercase,26,2,random,"vm",585,true,0.000111
A,Heuristic,lowercase,26,2,random,"vm",7266,false,0.000485
A,BruteForce,lowercase,26,2,random,"hm",221,true,0.000051
A,Heuristic,lowercase,26,2,random,"hm",7266,false,0.000556
A,BruteForce,lowercase,26,2,random,"up",562,true,0.000160
A,Heuristic,lowercase,26,2,random,"up",7266,false,0.000880
A,BruteForce,lowercase,26,2,random,"kv",308,true,0.000078
A,Heuristic,lowercase,26,2,random,"kv",7266,false,0.002996
A,BruteForce,lowercase,26,3,random,"obz",10218,true,0.000918
A,Heuristic,lowercase,26,3,random,"obz",7266,false,0.000782
A,BruteForce,lowercase,26,3,random,"wwb",16148,true,0.002759
A,Heuristic,lowercase,26,3,random,"wwb",7266,false,0.001048
A,BruteForce,lowercase,26,3,random,"zew",17729,true,0.001046
A,Heuristic,lowercase,26,3,random,"zew",7266,false,0.000609
A,BruteForce,lowercase,26,3,random,"gnr",5114,true,0.000299
A,Heuristic,lowercase,26,3,random,"gnr",7266,false,0.000186
A,BruteForce,lowercase,26,3,random,"phi",11033,true,0.000467
A,Heuristic,lowercase,26,3,random,"phi",7266,false,0.000384
A,BruteForce,lowercase,26,4,random,"gtsn",137060,true,0.005713
A,Heuristic,lowercase,26,4,random,"gtsn",7266,false,0.000168
A,BruteForce,lowercase,26,4,random,"prmq",293739,true,0.012642
A,Heuristic,lowercase,26,4,random,"prmq",7266,false,0.000144
A,BruteForce,lowercase,26,4,random,"ybpe",441173,true,0.036040
A,Heuristic,lowercase,26,4,random,"ybpe",7266,false,0.000309
A,BruteForce,lowercase,26,4,random,"kgxs",198711,true,0.010875
A,Heuristic,lowercase,26,4,random,"kgxs",7266,false,0.000265
A,BruteForce,lowercase,26,4,random,"jvhu",190861,true,0.008304
A,Heuristic,lowercase,26,4,random,"jvhu",7266,false,0.000131
